Wavelengh (nm),Spectral Radiance (uW/cm2-sr-nm)
840,166.0529849
841,166.0978291
842,166.1770576
843,166.3180136
844,166.4765755
845,166.6275679
846,166.7625295
847,166.8699665
848,167.0607249
849,167.2417602
850,167.3669095
851,167.4919505
852,167.5664304
853,167.631116
854,167.725452
855,167.7874458
856,167.8276569
857,167.8748255
858,167.974856
859,168.1066114
860,168.273496
861,168.4800833
862,168.7255893
863,168.991026
864,169.2493459
865,169.4745992
866,169.6653149
867,169.8018129
868,169.9157115
869,170.0584979
870,170.1999178
871,170.3186409
872,170.4101151
873,170.5006942
874,170.567427
875,170.6097984
876,170.6404192
877,170.7574408
878,170.7308638
879,170.6401937
880,170.5929356
881,170.6200257
882,170.6652735
883,170.7049448
884,170.7161709
885,170.8565981
886,171.0520711
887,171.2594875
888,171.4548852
889,171.6547971
890,171.8478557
891,172.0210659
892,172.1701913
893,172.2855629
894,172.3602542
895,172.4001616
896,172.4528293
897,172.5563627
898,172.6656959
899,172.7350872
900,172.7259222
901,172.6601612
902,172.6270625
903,172.7003265
904,172.7823359
905,172.8056735
906,172.8528029
907,173.0213955
908,173.0943001
909,173.1637191
910,173.2316973
911,173.2835674
912,173.3187005
913,173.3772317
914,173.4334807
915,173.4301612
916,173.4134556
917,173.4528996
918,173.5379529
919,173.6233017
920,173.6731905
921,173.7456469
922,173.8375232
923,173.9220631
924,173.9954227
925,174.0777732
926,174.1512048
927,174.1915228
928,174.2618755
929,174.3800919
930,174.513566
931,174.6209488
932,174.7663242
933,175.0436331
934,175.3424045
935,175.511533
936,175.7774951
937,175.647197
938,175.3298803
939,175.2170504
940,175.1571186
941,175.0857809
942,175.1306311
943,175.3412779
944,175.4723053
945,175.5064111
946,175.4648497
947,175.3890861
948,175.3566983
949,175.2714285
950,175.245368
951,175.3162713
952,175.3519981
953,175.3181822
954,175.2522542
955,175.2022645
956,175.220695
957,175.209172
958,175.2105097
959,175.2097084
960,175.1686332
961,175.1536114
962,175.1399232
963,175.108576
964,175.0621408
965,175.1598686
966,175.1593704
967,175.1310423
968,175.1348611
969,175.0922158
970,175.0432542
971,175.0572113
972,175.1216591
973,175.1340575
974,174.9241911
975,174.8207982
976,174.8667321
977,174.9721865
978,174.9635464
979,174.9466836
980,174.9317633
981,174.9188915
982,175.0332567
983,175.2323869
984,175.3140551
985,175.2966299
986,175.3376805
987,175.3816001
988,175.5305174
989,175.6298195
990,175.5645045
991,175.5641257
992,175.4916622
993,175.4167308
994,175.3862106
995,175.3771952
996,175.3067287
997,175.2358514
998,175.1760449
999,175.12372
1000,175.0711147
1001,175.0117696
1002,174.9500845
1003,174.8897083
1004,174.8326919
1005,174.7817639
1006,174.7401543
1007,174.7019106
1008,174.6592294
1009,174.6042588
1010,174.5321772
1011,174.447055
1012,174.3579752
1013,174.2738611
1014,174.1952082
1015,174.1227355
1016,174.0567041
1017,173.9947942
1018,173.9363428
1019,173.8813496
1020,173.8298139
1021,173.7809112
1022,173.7297864
1023,173.6701506
1024,173.5956813
1025,173.5016737
1026,173.3881564
1027,173.2689264
1028,173.1617924
1029,173.0845508
1030,173.0577358
1031,173.0957729
1032,173.1817175
1033,173.2895076
1034,173.3898208
1035,173.4526875
1036,173.4558716
1037,173.4107051
1038,173.3343474
1039,173.2418895
1040,173.1485962
1041,173.0657303
1042,172.9899398
1043,172.913947
1044,172.8299627
1045,172.7261395
1046,172.5977499
1047,172.4673206
1048,172.3640939
1049,172.3171645
1050,172.3563188
1051,172.4969901
1052,172.6972442
